[Tue Nov 10 11:45:51.287879 2015] [:error] [pid 25311] [client 127.0.0.1:62917] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 11:45:54.042685 2015] [:error] [pid 25311] [client 127.0.0.1:62917] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/index.phtml on line 2
[Tue Nov 10 12:06:39.253752 2015] [:error] [pid 25307] [client 127.0.0.1:63887] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 12:06:49.473504 2015] [:error] [pid 25309] [client 127.0.0.1:63891] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 12:16:36.760345 2015] [:error] [pid 25310] [client 127.0.0.1:64300] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 12:21:04.696287 2015] [:error] [pid 25308] [client 127.0.0.1:64598] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 12:21:05.643827 2015] [:error] [pid 25308] [client 127.0.0.1:64598] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 12:21:21.581976 2015] [:error] [pid 25305] [client 127.0.0.1:64604] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 13:43:15.252413 2015] [:error] [pid 25307] [client 127.0.0.1:65496] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 13:44:36.459161 2015] [:error] [pid 25404] [client 127.0.0.1:65530] PHP Parse error:  parse error in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 13:48:36.916624 2015] [:error] [pid 25306] [client 127.0.0.1:49411] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 13:51:08.197555 2015] [:error] [pid 25404] [client 127.0.0.1:49610] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 13:52:39.497411 2015] [:error] [pid 25311] [client 127.0.0.1:49684] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 2
[Tue Nov 10 15:13:58.089958 2015] [:error] [pid 25310] [client 127.0.0.1:51083] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/view.phtml on line 3
[Fri Nov 13 15:39:02.897829 2015] [:error] [pid 268] [client 127.0.0.1:49326] PHP Notice:  Undefined variable: router in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 21, referer: http://dev.gamenomad.com/games
[Fri Nov 13 15:39:02.910282 2015] [:error] [pid 268] [client 127.0.0.1:49326] PHP Fatal error:  Call to a member function addRoute() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/Bootstrap.php on line 21, referer: http://dev.gamenomad.com/games
[Fri Nov 13 15:40:42.429002 2015] [:error] [pid 3257] [client 127.0.0.1:49366] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/index.phtml on line 1, referer: http://dev.gamenomad.com/games
[Fri Nov 13 15:40:59.485100 2015] [:error] [pid 3256] [client 127.0.0.1:49368] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/index.phtml on line 1, referer: http://dev.gamenomad.com/games
[Fri Nov 13 15:41:04.499247 2015] [:error] [pid 3256] [client 127.0.0.1:49368] PHP Parse error:  parse error in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/index.phtml on line 1, referer: http://dev.gamenomad.com/games
[Fri Nov 13 15:41:36.580285 2015] [:error] [pid 268] [client 127.0.0.1:49403] PHP Fatal error:  Call to a member function getParam() on a non-object in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/index.phtml on line 2, referer: http://dev.gamenomad.com/games
[Fri Nov 13 15:41:48.363197 2015] [:error] [pid 3257] [client 127.0.0.1:49404] PHP Parse error:  parse error in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/views/scripts/games/index.phtml on line 3, referer: http://dev.gamenomad.com/games
[Fri Nov 13 17:05:31.708376 2015] [:error] [pid 3255] [client 127.0.0.1:54288] PHP Parse error:  parse error, expecting `"function (T_FUNCTION)"' in /Users/Equate/Sites/sandbox/dev.gamenomad.com/application/controllers/GamesController.php on line 5
